Name,Family,Genus,Species,Shi_match,Termite_Ant_Nest,Animal_Burrow_Hole,Cavity_Fallen_Tree,Cavity_Standing_Tree,Exposed_Standing_Tree,Open_Herbaceous,Tight_Herbaceous,Cave,Crevice,Artificial,Hibernation,notes,BibTeX,Contributor,,Migration,Open_Space_Foraging,Edge_Foraging,Cluttered_Foraging,Gleaning,Hawking,Perch_hunting,Wing_Catching,Skimming,Flocking,Altitude,Hovering,Gliding,Ground_Launch,Water_Launch,notes,BibTeX,Contributor,Nectar_Licking_Liquid,Pollen_Licking_Soft,Flowers_Chew_Soft,Fruit_Chew_Soft,Fruit_Bite_Chew_Hard,Folivory_Bite_Chew_Hard,Insects_Gulp_Chew_Medium,Fish_Gulp_Chew_Hard,TerraVert_Gulp_Chew_Hard,Blood_Bite_Liquid_Licking,Notes,BibTeX,Contributor
Rousettus_aegyptiacus_AMNH_237404,Pteropodidae,Rousettus,aegyptiacus,Rousettus_aegyptiacus,0,0,0,0,0,0,0,1,1,1,0,,herzig1978ecology; kwiecinski1999rousettus; thomas1978notes; nowak1999walker,Boerma and Swartz,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,nowak1999walker; kwiecinski1999rousettus,Andrew,1,0,1,1,0,1,0,0,0,0,,nowak1999walker; kwiecinski1999rousettusr,Andrew 
Cynopterus_brachyotis_AMNH_233949,Pteropodidae,Cynopterus,brachyotis,Cynopterus_brachyotis,0,0,0,1,0,1,1,1,0,1,0,,campbell2006comparative; funakoshi1997behavioural; tan1997tent; nowak1999walker,Boerma and Swartz,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,"nowak1999walker; hodgkison2004habitat,",Andrew ,0,1,1,1,0,0,0,0,0,0,,nowak1999walker,Andrew 
Hipposideros_pratti_AMNH_56957,Hipposideridae,Hipposideros,pratti,Hipposideros_pratti,0,0,0,1,0,0,0,1,0,1,?,,nowak1999walker; niu2007distribution; zhang2009recent,Boerma and Swartz,,0,0,1,0,0,0,1,0,0,0,0,0,0,?,?,difficult to find precise information; this bat uses perch hunting and not aerial hawking ,chen2002echolocation; horton2015test,Andrew ,0,0,0,0,0,0,1,0,0,0,EOL describes this bat as a carnivore but I cannot see any evidence of this in other publications,nowak1999walker,Andrew 
Vampyressa_pusilla_AMNH_238219,Phyllostomidae,Vampyressa,pusilla,Vampyressa_pusilla,0,0,0,0,0,1,1,0,0,0,0,,timm1984tent; zortea2000tents,Andrew ,,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,,korine2005fruit; kalko2008flying,Andrew ,0,0,0,1,?,0,0,0,0,0,Ripe fruit preferred; Ficus citrifolia is fleshy in texture,Lewis1987vampyressa; korine2005fruit,Andrew 
Tylonycteris_pachypus_AMNH_236209,Vespertilionidae,Tylonycteris,pachypus,Tylonycteris_pachypus,0,?,?,1,0,0,1,?,1,?,0,"suction pads on wrists and feet, roosts in bamboo; usually produces twins",medway1970roost,Andrew ,,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,climbs inside bamboo to roost,eguren2014tylonycteris,Andrew ,0,0,0,0,0,0,1,0,0,0,,nowak1999walker; eguren2014tylonycteris,Andrew 
Trinycteris_nicefori_AMNH_256822,Phyllostomidae,Micronycteris,nicefori,Micronycteris_nicefori,0,1,1,1,0,0,0,1,1,1,0,,voss2016roosting; nowak1999walker,Andrew ,,0?,0,?,1,1,?,?,0,0,0,0,?,0,0,0,,kalko2008flying,Andrew ,?,?,0,?,?,0,1,0,0,0,kalko describes this bat as an animalivore but too little detail supplied,nowak1999walker,Andrew 
Stenoderma_rufum_AMNH_208983,Phyllostomidae,Stenoderma,rufum,Stenoderma_rufum,0,0,0,0,0,1,?,0,0,0,0,,garbino2018roosting,Andrew ,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,jennings2004echolocation,Andrew ,1,?,?,1,0,0,0,0,0,0,,Genoways1972stenoderma; nowak1999walker,Andrew 
Sphaeronycteris_toxophyllum_AMNH209739,Phyllostomidae,Sphaeronycteris,toxophyllum,Sphaeronycteris_toxophyllum,0,1,0,0,1,1,?,0,0,?,0,,angulo2008sphaeronycteris; garbino2018roosting,Andrew ,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,Andrew ,0,0,0,1,0,0,0,0,0,0,,nowak1999walker; angulo2008sphaeronycteris,Andrew 
Anoura_geoffroyi_AMNH_268082,Phyllostomidae,Anoura,geoffroyi,Anoura_geoffroyi,0,0,0,0,0,0,0,1,0,?,0,,baumgarten1994reproductive; ramirez2001colony; voss2016roosting,Andrew ,,0,0,0,1,1,0,0,0,0,0,0,?,0,0,0,,,Andrew ,1,1,0,?,0,0,1,0,0,0,,nowak1999walker; muchhala2002flower,Andrew 
Antrozous_pallidus_AMNH_274878,Vespertilionidae,Antrozous,pallidus,Antrozous_pallidus,0,0,0,1,0,0,0,1,1,1,1,,vaughan1976roosting; nowak1999walker; miller2013roost,Andrew ,,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,,nowak1999walker; mcguire2023heterothermic,Andrew ,1,?,?,1,0,0,1,0,1,0,,Nowak1999walker; frick2009facultative; boyles2013global; aliperti2017using,Andrew 
Saccopteryx_bilineata_AMNH_279444,Emballonuridae,Saccopteryx,bilineata,Saccopteryx_bilineata,0,0,0,1,1,0,0,1,0,1,0,,nowak1999walker; voss2016roosting,Boerma and Swartz,,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,,eisenberg1989mammals; mcguire2023heterothermic,Andrew ,0,0,0,0,0,0,1,0,0,0,,boyles2013global,Andrew 
Rhynchonycteris_naso_AMNH_279521,Emballonuridae,Rhynchonycteris,naso,Rhynchonycteris_naso,0,0,0,0,1,1,1,0,0,?,0,,fenton2001bat; voss2016roosting; nowak1999walker,Boerma and Swartz,,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,over water; reproductive females forage together; dietary items often small and I doubt they perform skirt catching,eisenberg1989mammals; kalko2008flying,Andrew ,0,0,0,0,0,0,1,0,0,0,,nowak1999walker,Andrew 
Rhogeessa_aeneus_AMNH_278643,Vespertilionidae,Rhogeessa,aeneus,Rhogeessa_aeneus,0,0,0,1,0,0,1,?,1,1,0,,nowak1999walker; reid2009field,Boerma and Swartz,,0,1,1,1,0,?,?,0,0,0,0,0,0,0,0,,audet1993morphology; nowak1999walker,Andrew ,0,0,0,0,0,0,1,0,0,0,,nowak1999walker,Andrew 
Rhinolophus_hipposideros_AMNH_233075,Rhinolophidae,Rhinolophus,hipposideros,Rhinolophus_hipposideros,0,0,0,0,0,0,0,1,0,1,1,,nowak1999walker; aulagnier2018mammals,Boerma and Swartz,,0,0,1,1,1,1,0,?,0,0,0,?,0,1,0,will feed on ground,nowak1999walker; jones1989foraging,Andrew ,0,0,0,0,0,0,1,0,0,0,insect prey sometimes large and held between wing and body while eating ,nowak1999walker,Andrew 
Pteronotus_davyi_AMNH_279425,Mormoopidae,Pteronotus,davyi,Pteronotus_davyi,0,0,0,0,0,0,?,1,0,1,0,,nowak1999walker; fenton2001bat,Boerma and Swartz,,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,,adams1989pteronotus; jennings2004echolocation,Andrew ,0,0,0,0,0,0,1,0,0,0,,adams1989pteronotus; boyles2013global,Andrew 
Artibeus_fraterculus_AMNH_68454,Phyllostomidae,Artibeus,fraterculus,Artibeus_fraterculus,1,1,?,1,?,?,?,1,?,1,0,,salas2018artibeus,Andrew ,,0,0,0,1,0,?,?,0,0,0,0,1,0,0,0,faecal deposits evidence feeding on insects but detailed feeding information is unavailable I would probably assume gleaning,norberg1987ecological,Andrew ,1,1,1,1,1,0,1,0,0,0,,nowak1999walker; salas2018artibeus,Andrew 
Platyrhinus_helleri_AMNH_277688,Phyllostomidae,Platyrrhinus,helleri,Platyrrhinus_helleri,0,0,?,1,1,1,0,1,1,1,0,,ferrell1991platyrrhinus; nowak1999walker; tello2003first; kalko2008flying,Andrew ,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,I think faecal evidence of insects is compatible with opportunistic gleaning during frugivory,,Andrew ,?,0,1,1,0,0,1,0,0,0,,howell1973food; ferrell1991platyrrhinus,Andrew 
Platyrhinus_aurarius_AMNH_265341,Phyllostomidae,Platyrrhinus,aurarius,Platyrrhinus_aurarius,0,0,0,0,0,0,0,1,?,0,0,,nowak1999walker; garbino2018roosting,Andrew ,,0,0,0,1,1,?,?,0,0,0,0,0,0,0,0,,,Andrew ,0,0,0,1,?,0,0,0,0,0,,,Andrew 
Noctilio_leporinus_AMNH_186968,Noctilionidae,Noctilio,leporinus,Noctilio_leporinus,0,0,0,1,0,0,0,1,0,?,0,,voss2016roosting,Andrew ,,0,1,1,0,1,1,0,1,1,1,0,0,0,0,?,lack of migration inferred from seasonal diet variation; hindwing is relatively specialised and independent of the wing membrane; uses tail membrane to prevent fish loss and performs a forward bend to transfer fish to mouth with feet; forages in groups,nowak1999walker; kalko2008flying,Andrew ,0,0,0,0,0,0,1,1,0,0,,mcnab1971structure; nowak1999walker,Andrew 
Myotis_vivesi_AMNH_180834,Vespertilionidae,Myotis,vivesi,Myotis_atacamensis,0,0,0,0,0,0,0,1,1,0,0,,salinas2014winter; nowak1999walker,Andrew ,,0,1,0,0,1,?,0,0,1,0,0,0,0,?,?,,nowak1999walker,Andrew ,0,0,0,0,0,0,1,1,0,0,also eats small crustaceans,nowak1999walker; otalora2013marine,Andrew 
Artibeus_intermedius_AMNH_68454,Phyllostomidae,Artibeus,intermedius,Artibeus_intermedius,0,0,0,1,0,1,?,1,0,?,0,,reid2009field,Boerma and Swartz,,0,0,0,1,?,?,?,0,0,0,0,1,0,0,0,,norberg1987ecological,Andrew ,1,1,1,1,1,0,1,0,0,0,,nowak1999walker,Andrew 
Myotis_myotis_AMNH_244243,Vespertilionidae,Myotis,myotis,Myotis_myotis,0,0,0,0,1,0,0,1,1,1,1,,aulagnier2018mammals,Boerma and Swartz,,1,1,1,0,1,0,0,0,0,0,0,0,0,?,0,,mcguire2023heterothermic,Andrew ,0,0,0,0,0,0,1,0,0,0,,mcguire2023heterothermic,Andrew 
Miniopterus_screibersii_AMNH_244270,Vespertilionidae,Miniopterus,schreibersii,Miniopterus_schreibersii,0,0,0,0,1,0,0,1,1,1,1,,nowak1999walker; aulagnier2018mammals,Boerma and Swartz,,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,,nowak1999walker,Andrew ,0,0,0,0,0,0,1,0,0,0,,nowak1999walker,Andrew 
Mimon_crenulatum_AMNH_267886,Phyllostomidae,Mimon,crenulatum,Mimon_crenulatum,0,0,1,1,0,0,0,1,0,1,0,,voss2016roosting,Andrew ,,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,often found near water,norberg1987ecological; kalko2008flying; gual2021we; castillo2022first,Andrew ,1,1,?,1,1,0,1,0,1,0,,nowak1999walker; kalko2008flying; gual2021we; castillo2022first,Andrew 
Micronycteris_schmidtorum_AMNH_256821,Phyllostomidae,Micronycteris,schmidtorum,Micronycteris_schmidtorum,0,0,0,1,0,0,0,0,0,1,0,,voss2016roosting,Boerma and Swartz,,0,0,0,1,1,0,0,?,0,0,0,0,0,0,0,little information available,kalko2008flying,Andrew ,0,0,?,0,0,0,1,0,0,0,little information available; kalko claims this bat is an animalivore,escobedo2006geographic,Andrew 
Mesophylla_maconelli_AMNH_215025,Phyllostomidae,Mesophylla,macconnelli,Mesophylla_macconnelli,0,0,0,1,0,1,1,0,0,0,0,,kunz1992mesophylla; simmons1998mammals,Andrew ,,0,0,0,1,1,0,0,0,0,0,0,?,0,0,0,little information available,kunz1992mesophylla; kalko2008flying,Andrew ,?,1,?,1,?,?,?,0,0,0,little information available,kunz1992mesophylla; nowak1999walker; kalko2008flying,Andrew 
Macrotus_waterhousii_AMNH_238145,Phyllostomidae,Macrotus,waterhousii,Macrotus_waterhousii,0,0,0,0,0,0,0,1,?,1,0,,torres2012population,Andrew ,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,reid1997field; nowak1999walker; macias2014narrow,Andrew ,0,0,0,1,?,0,1,0,0,0,,reid1997field; nowak1999walker,Andrew 
