"","V1","V2"
"1","Tylonycteris_pachypus","https://www.morphosource.org/concern/media/000660268?locale=en"
"2","Micronycteris_nicefori","https://www.morphosource.org/concern/media/000660273?locale=en"
"3","Stenoderma_rufum","https://www.morphosource.org/concern/media/000660283?locale=en"
"4","Sphaeronycteris_toxophyllum","https://www.morphosource.org/concern/media/000660293?locale=en"
"5","Anoura_geoffroyi","https://www.morphosource.org/concern/media/000660304?locale=en"
"6","Saccopteryx_bilineata","https://www.morphosource.org/concern/media/000660677?locale=en"
"7","Rousettus_aegyptiacus","https://www.morphosource.org/concern/media/000660376?locale=en"
"8","Rhynchonycteris_naso","https://www.morphosource.org/concern/media/000660682?locale=en"
"9","Rhinolophus_hipposideros","https://www.morphosource.org/concern/media/000660345?locale=en"
"10","Pteronotus_davyi","https://www.morphosource.org/concern/media/000660694?locale=en"
"11","Artibeus_fraterculus","https://www.morphosource.org/concern/media/000660391?locale=en"
"12","Platyrrhinus_helleri","https://www.morphosource.org/concern/media/000660561?locale=en"
"13","Platyrrhinus_aurarius","https://www.morphosource.org/concern/media/000660573?locale=en"
"14","Noctilio_leporinus","https://www.morphosource.org/concern/media/000660566?locale=en"
"15","Myotis_vivesi","https://www.morphosource.org/concern/media/000660584?locale=en"
"16","Myotis_myotis","https://www.morphosource.org/concern/media/000660608?locale=en"
"17","Miniopterus_schreibersii","https://www.morphosource.org/concern/media/000660596?locale=en"
"18","Mimon_crenulatum","https://www.morphosource.org/concern/media/000660614?locale=en"
"19","Micronycteris_schmidtorum","https://www.morphosource.org/concern/media/000660623?locale=en"
"20","Mesophylla_macconnelli","https://www.morphosource.org/concern/media/000660633?locale=en"
"21","Macrotus_waterhousii","https://www.morphosource.org/concern/media/000660628?locale=en"
"22","Macrophyllum_macrophyllum","https://www.morphosource.org/concern/media/000660619?locale=en"
"23","Lophostoma_evotis","https://www.morphosource.org/concern/media/000660704?locale=en"
"24","Lampronycteris_brachyotis","https://www.morphosource.org/concern/media/000660589?locale=en"
"25","Hipposideros_pratti","https://www.morphosource.org/concern/media/000660580?locale=en"
"26","Hesperoptenus_gaskelli","https://www.morphosource.org/concern/media/000660392?locale=en"
"27","Glischropus_tylopus","https://www.morphosource.org/concern/media/000660381?locale=en"
"28","Enchisthenes_hartii","https://www.morphosource.org/concern/media/000660358?locale=en"
"29","Desmodus_rotundus","https://www.morphosource.org/concern/media/000660334?locale=en"
"30","Cynopterus_brachyotis","https://www.morphosource.org/concern/media/000660347?locale=en"
"31","Chiroderma_trinitatum","https://www.morphosource.org/concern/media/000660312?locale=en"
"32","Centurio_senex","https://www.morphosource.org/concern/media/000660316?locale=en"
"33","Carollia_sowelli","https://www.morphosource.org/concern/media/000660781?locale=en"
"34","Carollia_perspicillata","https://www.morphosource.org/concern/media/000660288?locale=en"
"35","Erophylla_bombifrons","https://www.morphosource.org/concern/media/000660278?locale=en"
"36","Mimon_cozumelae","https://www.morphosource.org/concern/media/000660261?locale=en"
"37","Cynopterus_sphinx","https://www.morphosource.org/concern/media/000661951?locale=en"
"38","Craseonycteris_thonglongyai","https://www.morphosource.org/concern/media/000170681?locale=en"
"39","Glossophaga_soricina","https://www.morphosource.org/concern/media/000661588?locale=en"
"40","Emballonura_monticola","https://www.morphosource.org/concern/media/000660242?locale=en"
"41","Leptonycteris_curasoae","https://www.morphosource.org/concern/media/000661599?locale=en"
"42","Megaderma_lyra","https://www.morphosource.org/concern/media/000661594?locale=en"
"43","Thyroptera_tricolor","https://www.morphosource.org/concern/media/000661604?locale=en"
"44","Lasiurus_borealis","https://www.morphosource.org/concern/media/000661609?locale=en"
"45","Pteropus_alecto","https://www.morphosource.org/concern/media/000660787?locale=en"
"46","Hipposideros_commersoni","https://www.morphosource.org/concern/media/000660793?locale=en"
"47","Cynomops_abrasus","https://www.morphosource.org/concern/media/000660831?locale=en"
"48","Hipposideros_ruber","https://www.morphosource.org/concern/media/000660962?locale=en"
"49","Notopteris_macdonaldi","https://www.morphosource.org/concern/media/000660991?locale=en"
"50","Brachyphylla_cavernarum","https://www.morphosource.org/concern/media/000661029?locale=en"
"51","Tadarida_brasiliensis","https://www.morphosource.org/concern/media/000661065?locale=en"
"52","Leptonycteris_nivalis","https://www.morphosource.org/concern/media/000661093?locale=en"
"53","Syconycteris_australis","https://www.morphosource.org/concern/media/000661127?locale=en"
"54","Eumops_abrasus","https://www.morphosource.org/concern/media/000661228?locale=en"
"55","Hypsignathus_monstrosus","https://www.morphosource.org/concern/media/000661297?locale=en"
"56","Hipposideros_diadema","https://www.morphosource.org/concern/media/000661551?locale=en"
"57","Molossus_molossus","https://www.morphosource.org/concern/media/000661567?locale=en"
"58","Peropteryx_kappleri","https://www.morphosource.org/concern/media/000661572?locale=en"
"59","Nycticeius_humeralis","https://www.morphosource.org/concern/media/000661641?locale=en"
"60","Scotophilus_leucogaster","https://www.morphosource.org/concern/media/000661679?locale=en"
"61","Mormoops_megalophylla","https://www.morphosource.org/concern/media/000661709?locale=en"
"62","Rousettus_amplexicaudatus","https://www.morphosource.org/concern/media/000661733?locale=en"
"63","Myotis_grisescens","https://www.morphosource.org/concern/media/000661755?locale=en"
"64","Myotis_leibii","https://www.morphosource.org/concern/media/000661914?locale=en"
"65","Myotis_horsfieldii","https://www.morphosource.org/concern/media/000661919?locale=en"
"66","Paranyctimene_raptor","https://www.morphosource.org/concern/media/000064832?locale=en"
"67","Myopterus_daubentonii","https://www.morphosource.org/concern/media/000519270?locale=en"
"68","Molossops_temminckii","https://www.morphosource.org/concern/media/000519266?locale=en"
"69","Aethalops_alecto","https://doi.org/10.17602/M2/M58367"
"70","Haplonycteris_fischeri","https://doi.org/10.17602/M2/M58355"
"71","Penthetor_lucasi","https://doi.org/10.17602/M2/M61965"
"72","Micropteropus_pusillus","https://www.morphosource.org/concern/parent/000S15535/media/000058348"
